Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,2,100,100,0,0,102,394,100,100,0.0304011666,49.9695988334,50.0000000000,15.8402136909,1.0000000000,0.8816000000,226.8602540835
2,100,0,1,100,100,0,0,101,297,100,100,0.0336852790,49.9359135544,100.0000000000,15.9203315524,1.0000000000,0.8808000000,227.0663033606
3,100,0,1,100,100,0,0,101,297,100,100,0.0297106111,49.9062029433,100.0000000000,15.9202076673,1.0000000000,0.8808000000,227.0663033606
4,100,0,1,100,100,0,0,101,297,100,100,0.0294397017,49.8767632416,100.0000000000,15.9201889047,1.0000000000,0.8808000000,227.0663033606
5,100,0,2,100,100,0,0,102,394,100,100,0.0308344728,49.8459287689,50.0000000000,15.8403056714,1.0000000000,0.8816000000,226.8602540835
6,100,0,1,100,100,0,0,101,297,100,100,0.0298632279,49.8160655410,100.0000000000,15.9202106196,1.0000000000,0.8808000000,227.0663033606
7,100,0,1,100,100,0,0,101,297,100,100,0.0305638573,49.7855016837,100.0000000000,15.9202413581,1.0000000000,0.8808000000,227.0663033606
8,100,0,1,100,100,0,0,101,297,100,100,0.0307089207,49.7547927629,100.0000000000,15.9202510296,1.0000000000,0.8808000000,227.0663033606
9,100,0,10,100,100,0,0,110,1170,100,100,0.0348873166,49.7199054463,10.0000000000,15.2001708095,1.0000000000,0.8880000000,225.2252252252
10,100,0,13,100,100,0,0,113,1461,100,100,0.0376947150,49.6822107314,7.6923076923,14.9601573159,1.0000000000,0.8904000000,224.6181491465
11,100,0,2,100,100,0,0,102,394,100,100,0.0300268447,49.6521838866,50.0000000000,15.8402697530,1.0000000000,0.8816000000,226.8602540835
12,100,0,2,100,100,0,0,102,394,100,100,0.0303459198,49.6218379669,50.0000000000,15.8402380672,1.0000000000,0.8816000000,226.8602540835
13,100,0,2,100,100,0,0,102,394,100,100,0.0287624842,49.5930754827,50.0000000000,15.8401957094,1.0000000000,0.8816000000,226.8602540835
14,100,0,1,100,100,0,0,101,297,100,100,0.0375473524,49.5555281303,100.0000000000,15.9204078594,1.0000000000,0.8808000000,227.0663033606
15,100,0,14,100,100,0,0,114,1558,100,100,0.0390734032,49.5164547271,7.1428571429,14.8801760552,1.0000000000,0.8912000000,224.4165170557
16,100,0,3,100,100,0,0,103,491,100,100,0.0294468011,49.4870079260,33.3333333333,15.7602110538,1.0000000000,0.8824000000,226.6545784225
17,100,0,1,100,100,0,0,101,297,100,100,0.0331826188,49.4538253072,100.0000000000,15.9203157759,1.0000000000,0.8808000000,227.0663033606
18,100,0,2,100,100,0,0,102,394,100,100,0.0307432331,49.4230820741,50.0000000000,15.8402401334,1.0000000000,0.8816000000,226.8602540835
19,100,0,18,100,100,0,0,116,1946,100,100,0.0427461911,49.3803358830,5.5555555556,14.5601689365,1.0000000000,0.8928000000,224.0143369176
20,100,0,3,100,100,0,0,103,491,100,100,0.0295003132,49.3508355698,33.3333333333,15.7601962408,1.0000000000,0.8824000000,226.6545784225
21,100,0,12,100,100,0,0,112,1364,100,100,0.0369645109,49.3138710589,8.3333333333,15.0401743270,1.0000000000,0.8896000000,224.8201438849
22,100,0,9,100,100,0,0,108,1073,100,100,0.0345049311,49.2793661278,11.1111111111,15.2801878409,1.0000000000,0.8864000000,225.6317689531
23,100,0,8,100,100,0,0,108,976,100,100,0.0333274117,49.2460387161,12.5000000000,15.3601989014,1.0000000000,0.8864000000,225.6317689531
24,100,0,22,100,100,0,0,119,2334,100,100,0.0465987132,49.1994400029,4.5454545455,14.2401536665,1.0000000000,0.8952000000,223.4137622878
25,100,0,2,100,100,0,0,102,394,100,100,0.0384633426,49.1609766603,50.0000000000,15.8404014423,1.0000000000,0.8816000000,226.8602540835
26,100,0,11,100,100,0,0,111,1267,100,100,0.0356337532,49.1253429071,9.0909090909,15.1201612345,1.0000000000,0.8888000000,225.0225022502
27,100,0,4,100,100,0,0,104,588,100,100,0.0332065644,49.0921363427,25.0000000000,15.6802360843,1.0000000000,0.8832000000,226.4492753623
28,100,0,3,100,100,0,0,103,491,100,100,0.0316708246,49.0604655182,33.3333333333,15.7603090118,1.0000000000,0.8824000000,226.6545784225
29,100,0,10,100,100,0,0,110,1170,100,100,0.0348087742,49.0256567440,10.0000000000,15.2001598838,1.0000000000,0.8880000000,225.2252252252
30,100,0,6,100,100,0,0,106,782,100,100,0.0312385970,48.9944181470,16.6666666667,15.5201897645,1.0000000000,0.8848000000,226.0397830018
31,100,0,3,100,100,0,0,103,491,100,100,0.0290921357,48.9653260113,33.3333333333,15.7601987901,1.0000000000,0.8824000000,226.6545784225
32,100,0,11,100,100,0,0,111,1267,100,100,0.0357344658,48.9295915455,9.0909090909,15.1201634276,1.0000000000,0.8888000000,225.0225022502
33,100,0,8,100,100,0,0,108,976,100,100,0.0328971180,48.8966944275,12.5000000000,15.3601642742,1.0000000000,0.8864000000,225.6317689531
34,100,0,36,100,100,0,0,127,3692,100,100,0.0607651174,48.8359293100,2.7777777778,13.1201448246,1.0000000000,0.9016000000,221.8278615794
35,100,0,5,100,100,0,0,105,685,100,100,0.0316701143,48.8042591957,20.0000000000,15.6002451352,1.0000000000,0.8840000000,226.2443438914
36,100,0,21,100,100,0,0,119,2237,100,100,0.0457558960,48.7585032996,4.7619047619,14.3201621813,1.0000000000,0.8952000000,223.4137622878
37,100,0,11,100,100,0,0,111,1267,100,100,0.0357887200,48.7227145797,9.0909090909,15.1201720638,1.0000000000,0.8888000000,225.0225022502
38,100,0,11,100,100,0,0,111,1267,100,100,0.0358452938,48.6868692858,9.0909090909,15.1201690630,1.0000000000,0.8888000000,225.0225022502
39,100,0,7,100,100,0,0,107,879,100,100,0.0324229059,48.6544463799,14.2857142857,15.4401597540,1.0000000000,0.8856000000,225.8355916893
40,100,0,17,100,100,0,0,116,1849,100,100,0.0417950998,48.6126512801,5.8823529412,14.6401756343,1.0000000000,0.8928000000,224.0143369176
41,100,0,2,100,100,0,0,102,394,100,100,0.0293220559,48.5833292243,50.0000000000,15.8401559998,1.0000000000,0.8816000000,226.8602540835
42,100,0,35,100,100,0,0,127,3595,100,100,0.0598109195,48.5235183048,2.8571428571,13.2001455416,1.0000000000,0.9016000000,221.8278615794
43,100,0,10,100,100,0,0,109,1170,100,100,0.0349770706,48.4885412341,10.0000000000,15.2001729402,1.0000000000,0.8872000000,225.4283137962
44,100,0,5,100,100,0,0,105,685,100,100,0.0309723662,48.4575688680,20.0000000000,15.6002186106,1.0000000000,0.8840000000,226.2443438914
45,100,0,49,100,100,0,0,123,4953,100,100,0.0737559704,48.3838128976,2.0408163265,12.0801415720,1.0000000000,0.8984000000,222.6179875334
46,100,0,4,100,100,0,0,104,588,100,100,0.0297798324,48.3540330652,25.0000000000,15.6802576235,1.0000000000,0.8832000000,226.4492753623
47,100,0,14,100,100,0,0,112,1558,100,100,0.0388375859,48.3151954793,7.1428571429,14.8801592457,1.0000000000,0.8896000000,224.8201438849
48,100,0,7,100,100,0,0,107,879,100,100,0.0326479121,48.2825475672,14.2857142857,15.4401768029,1.0000000000,0.8856000000,225.8355916893
49,100,0,11,100,100,0,0,111,1267,100,100,0.0361115685,48.2464359987,9.0909090909,15.1201850887,1.0000000000,0.8888000000,225.0225022502
50,100,0,6,100,100,0,0,106,782,100,100,0.0315234992,48.2149124996,16.6666666667,15.5201667411,1.0000000000,0.8848000000,226.0397830018
51,100,0,31,100,100,0,0,121,3207,100,100,0.0558752953,48.1590372043,3.2258064516,13.5201527140,1.0000000000,0.8968000000,223.0151650312
52,100,0,19,100,100,0,0,118,2043,100,100,0.0439697321,48.1150674721,5.2631578947,14.4801646460,1.0000000000,0.8944000000,223.6135957066
53,100,0,31,100,100,0,0,124,3207,100,100,0.0557498839,48.0593175882,3.2258064516,13.5201513180,1.0000000000,0.8992000000,222.4199288256
54,100,0,16,100,100,0,0,116,1752,100,100,0.0408210393,48.0184965489,6.2500000000,14.7201640839,1.0000000000,0.8928000000,224.0143369176
55,100,0,10,100,100,0,0,109,1170,100,100,0.0352361895,47.9832603594,10.0000000000,15.2002016785,1.0000000000,0.8872000000,225.4283137962
56,100,0,4,100,100,0,0,103,588,100,100,0.0325527330,47.9507076264,25.0000000000,15.6802525606,1.0000000000,0.8824000000,226.6545784225
57,100,0,12,100,100,0,0,112,1364,100,100,0.0365474004,47.9141602259,8.3333333333,15.0401596937,1.0000000000,0.8896000000,224.8201438849
