Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,2,100,100,0,0,102,394,100,100,0.0360602617,49.9639397383,50.0000000000,15.8406984198,1.0000000000,0.8816000000,226.8602540835
2,100,0,1,100,100,0,0,101,297,100,100,0.0347332094,49.9292065289,100.0000000000,15.9206611141,1.0000000000,0.8808000000,227.0663033606
3,100,0,1,100,100,0,0,101,297,100,100,0.0310127500,49.8981937788,100.0000000000,15.9206404831,1.0000000000,0.8808000000,227.0663033606
4,100,0,1,100,100,0,0,101,297,100,100,0.0305941385,49.8675996403,100.0000000000,15.9206220935,1.0000000000,0.8808000000,227.0663033606
5,100,0,2,100,100,0,0,102,394,100,100,0.0358118993,49.8317877410,50.0000000000,15.8407074524,1.0000000000,0.8816000000,226.8602540835
6,100,0,1,100,100,0,0,101,297,100,100,0.0309148192,49.8008729218,100.0000000000,15.9206165884,1.0000000000,0.8808000000,227.0663033606
7,100,0,1,100,100,0,0,101,297,100,100,0.0315374191,49.7693355027,100.0000000000,15.9206172794,1.0000000000,0.8808000000,227.0663033606
8,100,0,1,100,100,0,0,101,297,100,100,0.0319447502,49.7373907525,100.0000000000,15.9206476096,1.0000000000,0.8808000000,227.0663033606
9,100,0,10,100,100,0,0,110,1170,100,100,0.0566794391,49.6807113134,10.0000000000,15.2005797876,1.0000000000,0.8880000000,225.2252252252
10,100,0,13,100,100,0,0,113,1461,100,100,0.0591492267,49.6215620867,7.6923076923,14.9605560720,1.0000000000,0.8904000000,224.6181491465
11,100,0,1,100,100,0,0,101,297,100,100,0.0309265577,49.5906355290,100.0000000000,15.9206018499,1.0000000000,0.8808000000,227.0663033606
12,100,0,1,100,100,0,0,101,297,100,100,0.0303523455,49.5602831835,100.0000000000,15.9206217044,1.0000000000,0.8808000000,227.0663033606
13,100,0,1,100,100,0,0,101,297,100,100,0.0321192781,49.5281639053,100.0000000000,15.9206141271,1.0000000000,0.8808000000,227.0663033606
14,100,0,1,100,100,0,0,101,297,100,100,0.0416775588,49.4864863465,100.0000000000,15.9208783996,1.0000000000,0.8808000000,227.0663033606
15,100,0,1,100,100,0,0,101,297,100,100,0.0353224571,49.4511638894,100.0000000000,15.9206293563,1.0000000000,0.8808000000,227.0663033606
16,100,0,2,100,100,0,0,102,394,100,100,0.0348508655,49.4163130239,50.0000000000,15.8406596195,1.0000000000,0.8816000000,226.8602540835
17,100,0,9,100,100,0,0,108,1073,100,100,0.0473408895,49.3689721344,11.1111111111,15.2805672414,1.0000000000,0.8864000000,225.6317689531
18,100,0,1,100,100,0,0,101,297,100,100,0.0305915093,49.3383806251,100.0000000000,15.9205971140,1.0000000000,0.8808000000,227.0663033606
19,100,0,12,100,100,0,0,111,1364,100,100,0.0644622891,49.2739183360,8.3333333333,15.0405669636,1.0000000000,0.8888000000,225.0225022502
20,100,0,3,100,100,0,0,103,491,100,100,0.0331823739,49.2407359621,33.3333333333,15.7606141524,1.0000000000,0.8824000000,226.6545784225
21,100,0,1,100,100,0,0,101,297,100,100,0.0308379659,49.2098979962,100.0000000000,15.9205872317,1.0000000000,0.8808000000,227.0663033606
22,100,0,1,100,100,0,0,101,297,100,100,0.0305479661,49.1793500300,100.0000000000,15.9206567029,1.0000000000,0.8808000000,227.0663033606
23,100,0,1,100,100,0,0,101,297,100,100,0.0318493257,49.1475007044,100.0000000000,15.9206738463,1.0000000000,0.8808000000,227.0663033606
24,100,0,1,100,100,0,0,101,297,100,100,0.0320442306,49.1154564738,100.0000000000,15.9206826420,1.0000000000,0.8808000000,227.0663033606
25,100,0,1,100,100,0,0,101,297,100,100,0.0323556381,49.0831008357,100.0000000000,15.9205949318,1.0000000000,0.8808000000,227.0663033606
26,100,0,11,100,100,0,0,111,1267,100,100,0.0504496231,49.0326512126,9.0909090909,15.1205562274,1.0000000000,0.8888000000,225.0225022502
27,100,0,4,100,100,0,0,104,588,100,100,0.0351439601,48.9975072525,25.0000000000,15.6805605118,1.0000000000,0.8832000000,226.4492753623
28,100,0,2,100,100,0,0,102,394,100,100,0.0368961923,48.9606110602,50.0000000000,15.8407518380,1.0000000000,0.8816000000,226.8602540835
29,100,0,3,100,100,0,0,103,491,100,100,0.0325089067,48.9281021535,33.3333333333,15.7605911118,1.0000000000,0.8824000000,226.6545784225
30,100,0,6,100,100,0,0,106,782,100,100,0.0413308587,48.8867712948,16.6666666667,15.5205874410,1.0000000000,0.8848000000,226.0397830018
31,100,0,1,100,100,0,0,101,297,100,100,0.0336325772,48.8531387176,100.0000000000,15.9207334365,1.0000000000,0.8808000000,227.0663033606
32,100,0,1,100,100,0,0,101,297,100,100,0.0381990727,48.8149396449,100.0000000000,15.9208371771,1.0000000000,0.8808000000,227.0663033606
33,100,0,1,100,100,0,0,101,297,100,100,0.0333226550,48.7816169899,100.0000000000,15.9207304187,1.0000000000,0.8808000000,227.0663033606
34,100,0,1,100,100,0,0,101,297,100,100,0.0337935629,48.7478234270,100.0000000000,15.9207398053,1.0000000000,0.8808000000,227.0663033606
35,100,0,5,100,100,0,0,105,685,100,100,0.0389312082,48.7088922187,20.0000000000,15.6006108035,1.0000000000,0.8840000000,226.2443438914
36,100,0,1,100,100,0,0,101,297,100,100,0.0427954737,48.6660967450,100.0000000000,15.9208792373,1.0000000000,0.8808000000,227.0663033606
37,100,0,1,100,100,0,0,101,297,100,100,0.0339499475,48.6321467975,100.0000000000,15.9207464073,1.0000000000,0.8808000000,227.0663033606
38,100,0,2,100,100,0,0,102,394,100,100,0.0322687512,48.5998780464,50.0000000000,15.8406093497,1.0000000000,0.8816000000,226.8602540835
39,100,0,1,100,100,0,0,101,297,100,100,0.0351457672,48.5647322792,100.0000000000,15.9207597531,1.0000000000,0.8808000000,227.0663033606
40,100,0,8,100,100,0,0,108,976,100,100,0.0447959351,48.5199363441,12.5000000000,15.3605631448,1.0000000000,0.8864000000,225.6317689531
41,100,0,1,100,100,0,0,101,297,100,100,0.0324974764,48.4874388676,100.0000000000,15.9207316470,1.0000000000,0.8808000000,227.0663033606
42,100,0,1,100,100,0,0,101,297,100,100,0.0376127738,48.4498260938,100.0000000000,15.9206034524,1.0000000000,0.8808000000,227.0663033606
43,100,0,8,100,100,0,0,107,976,100,100,0.0454004548,48.4044256390,12.5000000000,15.3605635641,1.0000000000,0.8856000000,225.8355916893
44,100,0,1,100,100,0,0,101,297,100,100,0.0370777366,48.3673479024,100.0000000000,15.9207663006,1.0000000000,0.8808000000,227.0663033606
45,100,0,1,100,100,0,0,101,297,100,100,0.0353634885,48.3319844139,100.0000000000,15.9206554978,1.0000000000,0.8808000000,227.0663033606
46,100,0,5,100,100,0,0,105,685,100,100,0.0398816030,48.2921028109,20.0000000000,15.6006086256,1.0000000000,0.8840000000,226.2443438914
47,100,0,3,100,100,0,0,103,491,100,100,0.0427976707,48.2493051402,33.3333333333,15.7607431061,1.0000000000,0.8824000000,226.6545784225
48,100,0,1,100,100,0,0,101,297,100,100,0.0306914717,48.2186136685,100.0000000000,15.9206113514,1.0000000000,0.8808000000,227.0663033606
49,100,0,1,100,100,0,0,101,297,100,100,0.0367197874,48.1818938811,100.0000000000,15.9208194089,1.0000000000,0.8808000000,227.0663033606
50,100,0,8,100,100,0,0,108,976,100,100,0.0541792003,48.1277146808,12.5000000000,15.3606107340,1.0000000000,0.8864000000,225.6317689531
51,100,0,1,100,100,0,0,101,297,100,100,0.0389886538,48.0887260270,100.0000000000,15.9208444747,1.0000000000,0.8808000000,227.0663033606
52,100,0,1,100,100,0,0,101,297,100,100,0.0402567950,48.0484692320,100.0000000000,15.9208534513,1.0000000000,0.8808000000,227.0663033606
53,100,0,3,100,100,0,0,103,491,100,100,0.0356245944,48.0128446376,33.3333333333,15.7606171336,1.0000000000,0.8824000000,226.6545784225
54,100,0,1,100,100,0,0,101,297,100,100,0.0323556381,47.9804889995,100.0000000000,15.9205949318,1.0000000000,0.8808000000,227.0663033606
55,100,0,2,100,100,0,0,102,394,100,100,0.0363641907,47.9441248088,50.0000000000,15.8406585725,1.0000000000,0.8816000000,226.8602540835
56,100,0,1,100,100,0,0,101,297,100,100,0.0369104010,47.9072144078,100.0000000000,15.9205865459,1.0000000000,0.8808000000,227.0663033606
57,100,0,1,100,100,0,0,101,297,100,100,0.0364679072,47.8707465006,100.0000000000,15.9205858391,1.0000000000,0.8808000000,227.0663033606
58,100,0,1,100,100,0,0,101,297,100,100,0.0376476260,47.8330988746,100.0000000000,15.9206097504,1.0000000000,0.8808000000,227.0663033606
59,100,0,3,100,100,0,0,103,491,100,100,0.0380481939,47.7950506807,33.3333333333,15.7606647920,1.0000000000,0.8824000000,226.6545784225
60,100,0,4,100,100,0,0,104,588,100,100,0.0364471981,47.7586034826,25.0000000000,15.6805920014,1.0000000000,0.8832000000,226.4492753623
61,100,0,1,100,100,0,0,101,297,100,100,0.0321471633,47.7264563194,100.0000000000,15.9206166557,1.0000000000,0.8808000000,227.0663033606
62,100,0,1,100,100,0,0,101,297,100,100,0.0321652129,47.6942911065,100.0000000000,15.9206406374,1.0000000000,0.8808000000,227.0663033606
63,100,0,1,100,100,0,0,101,297,100,100,0.0382573686,47.6560337380,100.0000000000,15.9205879057,1.0000000000,0.8808000000,227.0663033606
64,100,0,1,100,100,0,0,101,297,100,100,0.0358976169,47.6201361210,100.0000000000,15.9208131574,1.0000000000,0.8808000000,227.0663033606
65,100,0,7,100,100,0,0,107,879,100,100,0.0451660558,47.5749700652,14.2857142857,15.4405811417,1.0000000000,0.8856000000,225.8355916893
66,100,0,1,100,100,0,0,101,297,100,100,0.0312753874,47.5436946778,100.0000000000,15.9205775852,1.0000000000,0.8808000000,227.0663033606
67,100,0,1,100,100,0,0,101,297,100,100,0.0312431902,47.5124514876,100.0000000000,15.9206850647,1.0000000000,0.8808000000,227.0663033606
68,100,0,1,100,100,0,0,101,297,100,100,0.0383274336,47.4741240541,100.0000000000,15.9208313135,1.0000000000,0.8808000000,227.0663033606
