protocol,bs,scenario,FND,HND,LND,PDR_%
leach,center,s0_none,1383,1586,1842,99.40
leach,center,s10_ecc160_aes,971,1141,1300,99.31
leach,center,s11_p256_aes,845,986,1118,98.87
leach,center,s12_ecc160_ecdsa,281,306,320,98.87
leach,center,s13_ecc160_swaes,557,666,779,98.70
leach,center,s14_x25519_aes,932,1080,1250,98.96
leach,center,s15_rsa3072_aes,728,870,1029,98.79
leach,center,s16_rsa1024_aes,990,1158,1321,99.43
leach,center,s1_aes_only,1037,1240,1435,99.13
leach,center,s2_hybrid_rsa,395,429,450,99.08
leach,center,s3_hybrid_ecc,302,328,347,98.06
leach,center,s4_full_ecc,1,23,39,23.82
leach,center,s5_full_rsa,182,194,201,5.47
leach,center,s6_once_rsa,1019,1210,1410,99.20
leach,center,s7_once_ecc,1017,1194,1365,99.12
leach,center,s8_bs_ecc,284,314,321,96.98
leach,center,s9_bs_rsa,201,209,220,95.32
leach,far,s0_none,988,1230,1652,99.43
leach,far,s10_ecc160_aes,764,913,1207,99.17
leach,far,s11_p256_aes,648,771,1046,98.94
leach,far,s12_ecc160_ecdsa,262,285,311,99.26
leach,far,s13_ecc160_swaes,504,566,752,98.41
leach,far,s14_x25519_aes,720,867,1158,99.00
leach,far,s15_rsa3072_aes,572,675,913,99.01
leach,far,s16_rsa1024_aes,765,920,1252,98.96
leach,far,s1_aes_only,821,986,1334,98.84
leach,far,s2_hybrid_rsa,351,390,434,98.84
leach,far,s3_hybrid_ecc,281,304,336,98.83
leach,far,s4_full_ecc,1,20,47,21.85
leach,far,s5_full_rsa,161,186,200,5.28
leach,far,s6_once_rsa,798,954,1283,99.10
leach,far,s7_once_ecc,786,930,1266,99.16
leach,far,s8_bs_ecc,264,295,320,95.84
leach,far,s9_bs_rsa,181,203,220,94.15
pegasis,center,s0_none,1324,2352,3504,99.42
pegasis,center,s10_ecc160_aes,1141,1953,2938,99.32
pegasis,center,s11_p256_aes,981,1676,2514,99.20
pegasis,center,s12_ecc160_ecdsa,760,1016,1665,98.01
pegasis,center,s13_ecc160_swaes,785,1099,1682,99.19
pegasis,center,s14_x25519_aes,1081,1847,2776,99.37
pegasis,center,s15_rsa3072_aes,863,1475,2226,99.26
pegasis,center,s16_rsa1024_aes,1158,1980,2982,99.35
pegasis,center,s1_aes_only,1196,2043,3077,99.42
pegasis,center,s2_hybrid_rsa,874,1245,2008,97.72
pegasis,center,s3_hybrid_ecc,774,1047,1705,97.68
pegasis,center,s4_full_ecc,11,12,23,83.29
pegasis,center,s5_full_rsa,1,1,14,2.88
pegasis,center,s6_once_rsa,1158,1980,2982,99.35
pegasis,center,s7_once_ecc,1141,1953,2938,99.32
pegasis,center,s8_bs_ecc,774,1047,1700,97.68
pegasis,center,s9_bs_rsa,674,848,1229,94.46
pegasis,far,s0_none,1374,2176,2713,99.08
pegasis,far,s10_ecc160_aes,1182,1814,2272,99.11
